Country,gdp,military,literacy,birth,death
United States,56361500000,3.4,86.55542169,12.2,8.5
Uruguay,1.05096E+11,1,98.8,12.6,9.1
Uzbekistan,3.56797E+11,2.8,100,20.5,5.1
Vanuatu,56361500000,2.2560240963855422,89.1,20.8,4
Venezuela,2.69068E+11,5.2,97.5,16.7,6.5
Vietnam,56361500000,1.8,95.8,14.9,5.8
Virgin Islands,4900000000,2.2560240963855422,86.55542169,11.1,9.2
West Bank,27446000000,2.2560240963855422,97.5,27.8,3.3
Yemen,73630000000,2.2560240963855422,70.1,23.4,5.5
Zambia,76129000000,1.4,86.7,34.1,5.9
Zimbabwe,56249000000,0.3,89.7,28.8,6.5
